,0,1,2,3,4,5
0,592.0883,4.19e-27,4,5,132,164
1,592.4107,3.836e-27,4,5,132,164
2,592.7377,4.617000000000001e-27,4,5,132,164
3,593.0119,4.653e-27,4,5,132,164
4,593.3476,4.3680000000000006e-27,4,5,132,164
5,593.6443,5.079e-27,4,5,132,164
6,593.7515,3.7290000000000005e-27,4,5,132,164
7,593.9322,5.186e-27,4,5,132,164
8,594.2813,4.936999999999999e-27,4,5,132,164
9,594.5473,5.54e-27,4,5,132,164
10,594.698,4.297e-27,4,5,132,164
11,594.849,5.754e-27,4,5,132,164
12,595.1898,3.4240000000000005e-27,4,5,132,164
13,595.2116,5.54e-27,4,5,132,164
14,595.6412,4.901e-27,4,5,132,164
15,595.7625,6.3580000000000005e-27,4,5,132,164
16,596.1385,6.18e-27,4,5,132,164
17,596.1451,3.978e-27,4,5,132,164
18,596.5812,5.5760000000000006e-27,4,5,132,164
19,596.6725,6.996e-27,4,5,132,164
20,597.0622,6.89e-27,4,5,132,164
21,597.0974,4.5820000000000006e-27,4,5,132,164
22,597.5179,6.287e-27,4,5,132,164
23,597.5791,7.670999999999999e-27,4,5,132,164
24,597.6961,3.445e-27,4,5,132,164
25,597.9824,7.670999999999999e-27,4,5,132,164
26,598.0466,5.257000000000001e-27,4,5,132,164
27,598.4514,7.103e-27,4,5,132,164
28,598.4822,8.381999999999998e-27,4,5,132,164
29,598.6565,4.013e-27,4,5,132,164
30,598.8993,8.487999999999999e-27,4,5,132,164
31,598.9926,6.038e-27,4,5,132,164
32,599.3816,7.956e-27,4,5,132,164
33,599.3819,9.128000000000001e-27,4,5,132,164
34,599.614,4.688e-27,4,5,132,164
35,599.8127,9.34e-27,4,5,132,164
36,599.9354,6.89e-27,4,5,132,164
37,600.3084,8.914e-27,4,5,132,164
38,600.5686,5.434e-27,4,5,132,164
39,600.7228,1.0300000000000001e-26,4,5,132,164
40,600.8751,7.813e-27,4,5,132,164
41,601.232,9.912999999999999e-27,4,5,132,164
42,601.2921,3.907e-27,4,5,132,164
43,601.5201,6.251e-27,4,5,132,164
44,601.6294,1.1259999999999999e-26,4,5,132,164
45,601.8116,8.843e-27,4,5,132,164
46,602.1522,1.1009999999999999e-26,4,5,132,164
47,602.2539,4.5820000000000006e-27,4,5,132,164
48,602.4686,7.209999999999999e-27,4,5,132,164
49,602.5325,1.2329999999999998e-26,4,5,132,164
50,602.7448,9.941999999999999e-27,4,5,132,164
51,603.069,1.2180000000000001e-26,4,5,132,164
52,603.2129,5.3630000000000005e-27,4,5,132,164
53,603.414,8.239e-27,4,5,132,164
54,603.4322,1.3380000000000002e-26,4,5,132,164
55,603.6747,1.115e-26,4,5,132,164
56,603.9824,1.342e-26,4,5,132,164
57,604.0606,3.622e-27,4,5,132,164
58,604.1691,6.215e-27,4,5,132,164
59,604.3285,1.456e-26,4,5,132,164
60,604.3563,9.376e-27,4,5,132,164
61,604.6014,1.246e-26,4,5,132,164
62,604.8924,1.474e-26,4,5,132,164
63,605.0252,4.262e-27,4,5,132,164
64,605.1225,7.209999999999999e-27,4,5,132,164
65,605.2955,1.065e-26,4,5,132,164
66,605.5248,1.3880000000000003e-26,4,5,132,164
67,605.799,1.6130000000000003e-26,4,5,132,164
68,605.9872,5.043e-27,4,5,132,164
69,606.0729,8.311000000000001e-27,4,5,132,164
70,606.2315,1.2039999999999999e-26,4,5,132,164
71,606.4448,1.538e-26,4,5,132,164
72,606.7021,1.7580000000000004e-26,4,5,132,164
73,606.9468,5.8950000000000004e-27,4,5,132,164
74,607.0204,9.554e-27,4,5,132,164
75,607.1643,1.353e-26,4,5,132,164
76,607.3615,1.6980000000000003e-26,4,5,132,164
77,607.6018,1.911e-26,4,5,132,164
78,607.9038,6.89e-27,4,5,132,164
79,607.9414,3.8e-27,4,5,132,164
